id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
126176;POL VILLA DON ARTURO;3;CANELONES;3732;SOLYMAR;;CMNO. AL PASO ESCOBAR;;;;AVDA. EDUARDO MARQUEZ CASTRO;;;;;;;;PASO ESCOBAR esquina EDUARDO MARQUEZ CASTRO;;14-03-2026;26982807;;;;;;;594762.241981866;6147205.02064233;-55.9639;-34.813;POLICLINICA VILLA DON ARTURO;
126177;POL AEROPARQUE;3;CANELONES;3733;VILLA AEROPARQUE;;;;;;MANUEL MARQUEZ;;;;;;;;CALLE AUSTRAL esquina A LA RAMBLA COSTANERA;;14-03-2026;;;;;;;;591589.873263251;6150131.965419;-55.9989;-34.7869;POLICLINICA AEROPARQUE;
126178;POL CASTELLANOS;3;CANELONES;3823;CASTELLANOS;;MTRA. MARIA MATILDE GHIOSSO DE LASA;;;;CMNO. NACIONAL;;;;;;;;UTE 9 esquina NACIONAL;;14-03-2026;;;;;;;;596451.805205412;6195332.39665764;-55.9509;-34.3789;POLICLINICA CASTELLANOS;
126179;POL COSTA AZUL;3;CANELONES;3826;COSTA AZUL;;PERU;;;;JULIO HERRERA Y REISSIG;;;;;;;;PERU esquina JULIO HERRERA Y REISSIG;;14-03-2026;;;;;;;;623015.486101751;6152981.66320984;-55.6559;-34.7579;POLICLINICA COSTA AZUL;
126180;POL PINAR;3;CANELONES;3828;EL PINAR;;GUILLERMO PEREZ BUTLER;;;;;;;;;;;;GUILLERMO PEREZ BUTLER esquina CIUDAD DE PANDO;;14-03-2026;26984690;;;;;;;597149.938207667;6148954.64518515;-55.938;-34.797;POLICLINICA PINAR;
126181;POL AUTODROMO;3;CANELONES;3828;EL PINAR;;RIO NEGRO;;;;;;;;;;;;RIO NEGRO esquina RUTA INTERBALNEARIA KM 30200;;14-03-2026;269683804;;;;;;;598450.651524976;6149950.09248341;-55.9239;-34.7879;POLICLINICA AUTODROMO;
126182;POL SAN LUIS;3;CANELONES;3834;SAN LUIS;;MISIONES;;;;DIAGONAL PERU;;;;;;;;MISIONES esquina DIAGONAL PERU;;14-03-2026;;;;;;;;628666.99449759;6151240.44660308;-55.5939;-34.7729;POLICLINICA SAN LUIS;
126183;POL TOTORAL DEL SAUCE;3;CANELONES;3836;TOTORAL DEL SAUCE;;;;;;;;;;;;;;RUTA 7;;14-03-2026;;;;;;;;592278.746421098;6164099.52587043;-55.9929;-34.6609;POLICLINICA TOTORAL DEL SAUCE;
126184;POL VILLA FELICIDAD;3;CANELONES;3837;VILLA FELICIDAD;;MONS. JACINTO VERA;;32;;;;;;;;;;JACINTO VERA KM 32 esquina RUTA 5;;14-03-2026;;;;;;;;569571.948519381;6166627.49496187;-56.2409;-34.6399;POLICLINICA VILLA FELICIDAD;
126185;POL VILLA SAN JOSE;3;CANELONES;3839;VILLA SAN JOSE;;CANELONES;;;;SORIANO;;;;;;;;CANELONES esquina SORIANO;;14-03-2026;;;;;;;;584801.430729376;6158171.28973015;-56.0739;-34.715;POLICLINICA VILLA SAN JOSE;
126186;POL ESTACION TAPIA;3;CANELONES;3840;ESTACION TAPIA;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;614489.904663401;6174165.88879702;-55.7519;-34.5679;POLICLINICA TAPIA;
126187;PUESTO RURAL PASO PACHE;3;CANELONES;3882;PASO DE PACHE;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;565979.670382976;6189942.10969666;-56.2819;-34.4299;PUESTO RURAL PASO PACHE;
126188;POL CANELON CHICO;3;CANELONES;3900;;;;;;;;;;;;;;;RUTA 107;;14-03-2026;;;;;;;;574856.944964264;6175236.39616654;-56.184;-34.5619;POLICLINICA CANELON CHICO;
126189;POL LA PALOMA;3;CANELONES;3900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;579875.393155856;6181626.71778428;-56.1299;-34.5039;POLICLINICA LA PALOMA;
126190;POL RINCON DEL COLORADO;3;CANELONES;3900;;;;;8.5;;;;;;;;;;RUTA 48  KM 8500;;14-03-2026;;;;;;;;560923.700193426;6161698.19027706;-56.3349;-34.6849;POLICLINICA RINCON DEL COLORADO;
126219;POL CERRO DE LAS CUENTAS;4;CERRO LARGO;4824;CERRO DE LAS CUENTAS;;;;;;;;;;;;;;7;;14-03-2026;46808150;;;;;;;725851.014563883;6388402.27236617;-54.5929;-32.6189;POLICLINICA CERRO DE LAS CUENTAS;
126191;POL BOLIVAR;3;CANELONES;3927;BOLIVAR;;INDEPENDENCIA;;;;GRAL. ARTIGAS;;;;;;;;INDEPENDENCIA esquina JOSE GERVASIO ARTIGAS;;14-03-2026;43117179;;;;;;;423755.233604704;6186714.20990834;-57.8301;-34.4583;POLICLINICA BOLIVAR;
126192;POL CAPILLA CELLA;3;CANELONES;3929;CAPILLA DE CELLA;;;;;;;;;;;;;;RUTA 9 esquina 70;;14-03-2026;;;;;;;;635653.032639778;6159459.63437822;-55.5189;-34.6979;POLICLINICA CAPILLA CELLA;
126193;POL CUCHILLA ALTA;3;CANELONES;3935;CUCHILLA ALTA;;MONTEVIDEO;;;;;;;;;;;;MONTEVIDEO esquina EL GALEON;;14-03-2026;;;;;;;;637785.071985193;6148889.66284748;-55.4939;-34.7929;POLICLINICA CUCHILLA ALTA;
126194;POL JAUREGUIBERRY;3;CANELONES;3946;JAUREGUIBERRY;;GRAL. ARTIGAS;;;;URUGUAY;;;;;;;;JOSE GERVASIO ARTIGAS esquina URUGUAY;;14-03-2026;;;;;;;;646311.566388389;6149867.13834329;-55.4009;-34.7829;POLICLINICA JAUREGUIBERRY;
126195;CONS MONTES DE SOLYMAR;3;CANELONES;3953;LOMAS DE SOLYMAR;;;;;;;;;;;;;;DE LOS COLIBRIES;;14-03-2026;;;;;;;;595855.095249127;6146923.83850499;-55.951920747757;-34.815432873472;CONSULTORIO MONTES DE SOLYMAR;
126196;POL LA CADENA;3;CANELONES;3962;PASO DE LA CADENA;;;;;;;;;;;;;;RUTA 64 esquina RUTA 81;;14-03-2026;;;;;;;;577913.34052924;6188519.11437843;-56.1519;-34.4419;POLICLINICA LA CADENA;
126197;POL PIEDRAS DE AFILAR;3;CANELONES;3969;ESTACION PIEDRAS DE AFILAR;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;635581.169963038;6154579.84943661;-55.5189;-34.7419;POLICLINICA PIEDRAS DE AFILAR;
126198;;3;CANELONES;3987;COLINAS DE SOLYMAR;;;;;;;;;;;;;;AV C CAPILLA SAN BENITO;;14-03-2026;;;;;;;;595455.546257886;6148516.15947547;-55.956469774246;-34.80111369612;POLICLINICA COLINAS DE SOLYMAR;
126199;CONS VILLA EL TATO;3;CANELONES;3989;VILLA EL TATO;;;;;;;;;;;;;;A LOS HORNEROS esquina CALLE 1;;14-03-2026;;;;;;;;594076.067942301;6151659.5839886;-55.9719;-34.7729;CONSULTORIOS VILLA EL TATO;
126202;POL BARRIO DIEGO LAMAS;4;CERRO LARGO;4020;MELO;;;1192;;;;;;;;;;;CALLE 2 1192 esquina CALLE 12;;14-03-2026;96451323;;;;;;;767077.010647285;6412910.0607513;-54.1609;-32.3889;POLICLINICA BARRIO DIEGO LAMAS;
126203;POL BARRIO FEDER;4;CERRO LARGO;4020;MELO;;;760;;;ESTANISLAO DE LA VEGA;;;;;;;;TIMOTEO APARICIO 760 esquina ESTANISLAO DE LA VEGA;;14-03-2026;46431370;;;;;;;768747.895882824;6415529.23336953;-54.1439;-32.3649;POLICLINICA BARRIO FEDER;
126204;POL BARRIO MURGUIA;4;CERRO LARGO;4020;MELO;;PAYADORES;;;;14 DE JUNIO;;;;;;;;PAYADORES esquina 14 DE JULIO;;14-03-2026;94762164;;;;;;;767680.011265375;6414336.84792299;-54.1549;-32.3759;POLICLINICA BARRIO MURGUIA;
126205;POL BARRIO PRIETO;4;CERRO LARGO;4020;MELO;;;1440;;;;;;;;;;;CALLEJON 1 1440 esquina CALLE 5;;14-03-2026;99036629;;;;;;;768012.580558968;6416214.76253902;-54.1519;-32.3589;POLICLINICA BARRIO PRIETO;
126206;POL BARRIO RUIZ;4;CERRO LARGO;4020;MELO;;;1086;;;RAMON VILLADEMOROS;;;;;;;;MINUANES 1086 esquina RAMON VILLADEMOROS;;14-03-2026;95430624;;;;;;;767374.251645846;6417008.63837499;-54.1589;-32.3519;POLICLINICA BARRIO RUIZ;
126207;POL BARRIO SONORA;4;CERRO LARGO;4020;MELO;;;162;;;;;;;;;;;CAMINO DE LAS DILIGENCIAS 162 esquina MAXIMO NAVARRETE;;14-03-2026;98959278;;;;;;;764803.237283956;6415966.75720594;-54.1859;-32.3619;POLICLINICA BARRIO SONORA;
126208;POL BARRIO TRAMPOLIN;4;CERRO LARGO;4020;MELO;;;568;;;;;;;;;;;FLORENCIO OLIVERA 568 esquina ANTONIO CAZAS;;14-03-2026;46421003;;;;;;;768897.615449217;6414082.39644926;-54.1419;-32.3779;POLICLINICA BARRIO TRAMPOLIN;
126209;POL CENTRO PROMOCION;4;CERRO LARGO;4020;MELO;;;;1;;;;;;;;;;RUTA 8 KM 1 esquina HIGUERA;;14-03-2026;46422914;;;;;;;767477.027922735;6413787.31675775;-54.1569;-32.3809;POLICLINICA CENTRO PROMOCION;
126210;POL COLLAZO;4;CERRO LARGO;4020;MELO;;25 DE AGOSTO;1764;;;LA REDOTA;;;;;;;;25 DE AGOSTO 1764 esquina LA REDOTA;;14-03-2026;94785827;;;;;;;768324.042038899;6413764.75334978;-54.1479;-32.3809;POLICLINICA COLLAZO;
126211;POL FRAILE MUERTO;4;CERRO LARGO;4521;FRAILE MUERTO;;AVDA. BLANCA CASTRO DE ARGENCIO;;;;GRAL. JOSE ARTIGAS;;;;;;;;BLANCA CASTRO DE ARGENCIO esquina JOSE GERVASIO ARTIGAS;;14-03-2026;46889012;;;;;;;732790.877426766;6400114.95728652;-54.5219;-32.5119;POLICLINICA FRAILE MUERTO;
126212;POL WENCISLAO SILVEIRA;4;CERRO LARGO;4521;FRAILE MUERTO;;RUTA 7 GRAL. APARICIO SARAVIA;;;;;;;;;;;;;;14-03-2026;46889230;;;;;;;731178.118666281;6399486.6164354;-54.5389;-32.5179;POLICLINICA WENCISLAO SILVEIRA;
126214;POL TRES BARRIOS;4;CERRO LARGO;4522;RIO BRANCO;;EXODO DEL PUEBLO ORIENTAL;;;;BATALLA DE SAN JOSE;;;;;;;;DEL EXODO esquina BATALLA DE SAN JOSE;;14-03-2026;;;;;;;;839123.298471564;6387079.20349021;-53.3869;-32.6019;POLICLINICA TRES BARRIOS;
126215;POL TUPAMBAE;4;CERRO LARGO;4621;TUPAMBAE;;;;;;GRAL. ARTIGAS;;;;;;;;CONTINUACION RUTA 7 esquina JOSE GERVASIO ARTIGAS;;14-03-2026;46852310;;;;;;;709758.418259314;6364458.01995495;-54.7589;-32.8379;POLICLINICA TUPAMBAE;
126216;POL NOBLIA;4;CERRO LARGO;4721;ISIDORO NOBLIA;;;;;;;;;;;;;;JUANA DE IBARBOUROU esquina GRAL F RIVERA;;14-03-2026;46409144;;;;;;;771926.295696252;6460393.30017292;-54.1229;-31.9599;POLICLINICA ISIDORO NOBLIA;
126217;POL ACEGUA;4;CERRO LARGO;4821;ACEGUA;;;776;;;;;;;;;;;MARIA ISABEL RODRIGUEZ MATTOS 776 esquina 24 DE ABRIL;;14-03-2026;46409201;;;;;;;768480.17161384;6469695.5475755;-54.1619;-31.8769;POLICLINICA ACEGUA;
126218;POL BANADO DE MEDINA;4;CERRO LARGO;4822;BA�ADO DE MEDINA;;CALLE 7;;;;;;;;;;;;7;;14-03-2026;46402210;;;;;;;749250.699929938;6411703.2656539;-54.3499;-32.4039;POLICLINICA BANADO DE MEDINA;
126221;POL BARRIO HIPODROMO;4;CERRO LARGO;4900;;;;;;;;;;;;;;;ROMEO POGGIOLA esquina RAMON DA SILVEIRA;;14-03-2026;95072725;;;;;;;764309.275829039;6415091.88028319;-54.1909;-32.3699;POLICLINICA BARRIO HIPODROMO;
126222;POL PLACIDO ROSAS;4;CERRO LARGO;4827;PLACIDO ROSAS;;;;372;;;;;;;;;;RUTA 18 KM 372;;14-03-2026;;;;;;;;807411.19886602;6370785.85420425;-53.7189;-32.7579;POLICLINICA PLACIDO ROSAS;
126223;POL TRES ISLAS;4;CERRO LARGO;4829;TRES ISLAS;;;;346;;;;;;;;;;RUTA 7 KM 346;;14-03-2026;46808146;;;;;;;717383.557604174;6400572.41776227;-54.6859;-32.5109;POLICLINICA TRES ISLAS;
126224;POL CENTURION;4;CERRO LARGO;4900;;;;;460;;;;;;;;;;RUTA 7 KM 460;;14-03-2026;;;;;;;;803176.685749827;6438864.71990353;-53.7859;-32.1459;POLICLINICA CENTURION;
126225;POL CUCHILLA GRANDE;4;CERRO LARGO;4900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;738381.09164424;6390107.78505559;-54.4599;-32.6009;POLICLINICA CUCHILLA GRANDE;
126226;POL MICAELA;4;CERRO LARGO;4900;;;;;;;;;;;;;;;CAMINO A PASO DE LA ARENA;;14-03-2026;46402803;;;;;;;789002.753626702;6389435.28472439;-53.9209;-32.5949;POLICLINICA MICAELA;
126227;POL PASO PEREIRA;4;CERRO LARGO;4900;;;;;293;;;;;;;;;;RUTA 7 KM 293;;14-03-2026;46404487;;;;;;;666833.087672182;6406976.91032758;-55.2249;-32.4619;POLICLINICA PASO PEREIRA;
126228;POL POBLADO URUGUAY;4;CERRO LARGO;4900;;;;;;;;;;;;;;;A 6KM DE RUTA 26;;14-03-2026;;;;;;;;828771.692593138;6398198.83932593;-53.5009;-32.5049;POLICLINICA POBLADO URUGUAY;
126229;POL QUEBRACHO;4;CERRO LARGO;4900;;;;;339;;;;;;;;;;RUTA 7 KM 339;;14-03-2026;;;;;;;;738443.040137229;6404531.25596196;-54.4629;-32.4709;POLICLINICA QUEBRACHO;
126230;POL SAN DIEGO;4;CERRO LARGO;4900;;;;;;;;;;;;;;;RUTA 8;;14-03-2026;46409271;;;;;;;788076.673125413;6455954.89216924;-53.9509;-31.9959;POLICLINICA SAN DIEGO;
126231;POL ARBOLITO;4;CERRO LARGO;4923;ARBOLITO;;RUTA 8 BRIG. GRAL. JUAN A LAVALLEJA;;;;;;;;;;;;8;;14-03-2026;46402413;;;;;;;761630.579990527;6388304.11610209;-54.2119;-32.6119;POLICLINICA ARBOLITO;
126232;POL AREVALO;4;CERRO LARGO;4924;AREVALO;;;;293;;;;;;;;;;RUTA 7 KM 293;;14-03-2026;;;;;;;;680296.669666132;6387112.02348815;-55.0779;-32.6389;POLICLINICA AREVALO;
126233;POL CANAS;4;CERRO LARGO;4930;CASERIO LAS CA�AS;;;;;;;;;;;;;;CAMINO VECINAL;;14-03-2026;46402411;;;;;;;798524.290287074;6415689.06204462;-53.8279;-32.3559;POLICLINICA CANAS;
126234;POL LA PEDRERA;4;CERRO LARGO;4948;LA PEDRERA;;;;12;;;;;;;;;;RUTA 26  KM 12;;14-03-2026;;;;;;;;774329.180188152;6412936.77496141;-54.0839;-32.3869;POLICLINICA LA PEDRERA;
126235;POL LAGUNA MERIN;4;CERRO LARGO;4949;LAGO MERIN;;CALLE 18;;;;;;;;;;;;18 esquina CALLE 1;;14-03-2026;;;;;;;;850580.377953133;6370685.63616944;-53.2589;-32.7459;POLICLINICA LAGUNA MERIN;
126236;POL MANGRULLO;4;CERRO LARGO;4952;MANGRULLO;;;;;;;;;;;;;;RUTA 8;;14-03-2026;46409201;;;;;;;778714.679840917;6445670.68655574;-54.0469;-32.0909;POLICLINICA MANGRULLO;
126237;POL RAMON TRIGO;4;CERRO LARGO;4968;RAMON TRIGO;;;;396;;;;;;;;;;RUTA 26 KM 396;;14-03-2026;46808174;;;;;;;722291.078757005;6418437.67761729;-54.6379;-32.3489;POLICLINICA RAMON TRIGO;
126240;POL EL GENERAL;5;COLONIA;5320;COLONIA DEL SACRAMENTO;;REPUBLICA;;;;FERNANDO CARBALLO;;;;;;;;REPUBLICA esquina FERNANDO CARBALLO;;14-03-2026;45230458;;;;;;;425496.826402851;6188325.24594905;-57.811;-34.4439;POLICLINICA EL GENERAL;
126241;POL EL REAL;5;COLONIA;5320;COLONIA DEL SACRAMENTO;;QUINKE;;;;DR. LUIS ALBERTO DE HERRERA;;;;;;;;QUINKE esquina LORENZO LATORRE;;14-03-2026;45228731;;;;;;;421724.633778191;6188959.66949632;-57.852;-34.4379;POLICLINICA EL REAL DE SAN CARLOS;
126242;POL LOS NOGALES;5;COLONIA;5320;COLONIA DEL SACRAMENTO;;JOSE VICO;;;;RAMON AYALA;;;;;;;;JOSE VICO esquina R AYALA;;14-03-2026;45227687;;;;;;;424419.815315088;6186320.40221424;-57.8229;-34.4619;POLICLINICA LOS NOGALES;
126244;POL COMITE DE JUBILADOS;5;COLONIA;5321;CARMELO;;IGNACIO BARRIOS;;;;19 DE ABRIL;;;;;;;;IGNACIO BARRIOS esquina 19 DE ABRIL;;14-03-2026;45422719;;;;;;;381421.495318464;6237112.05263894;-58.284;-33.9999;POLICLINICA COMITE DE JUBILADOS;
126245;POL CENTENARIO;5;COLONIA;5321;CARMELO;;GRAL. BELGRANO;;;;CHARRUA;;;;;;;;MANUEL BELGRANO esquina CHARRUA;;14-03-2026;45424726;;;;;;;381526.352235186;6236115.21241514;-58.283;-34.0089;POLICLINICA COPOBCE;
126246;POL MIHANOVICH;5;COLONIA;5321;CARMELO;;JOSE PEDRO VARELA;;;;12 DE FEBRERO;;;;;;;;JOSE PEDRO VARELA esquina 12 DE FEBRERO;;14-03-2026;99256101;;;;;;;380963.897560113;6236773.58762806;-58.289;-34.0029;POLICLINICA MIHANOVICH;
126247;POL RAUL LOPEZ;5;COLONIA;5321;CARMELO;;PIEDRAS;;;;OFICIAL 2;;;;;;;;PIEDRAS esquina OFICIAL 2;;14-03-2026;45426645;;;;;;;382336.788255777;6237788.913076;-58.274;-33.9939;POLICLINICA RAUL LOPEZ;
126248;POL SARAVIA;5;COLONIA;5321;CARMELO;;ROBERTO BERTOLINO;;;;TREINTA Y TRES;;;;;;;;ROBERTO BERTOLINO esquina TREINTA Y TRES;;14-03-2026;99446564;;;;;;;380318.38188378;6237419.7910083;-58.2959;-33.997;POLICLINICA SARAVIA;
126250;POL 21 DE OCTUBRE DE 1913;5;COLONIA;5323;JUAN LACAZE;;AVDA. DANIEL FERNANDEZ CRESPO;;;;RECONQUISTA;;;;;;;;DANIEL FERNANDEZ CRESPO esquina RECONQUISTA;;14-03-2026;;;;;;;;459481.731002834;6189865.94999917;-57.441;-34.4319;POLICLINICA 21 DE OCTUBRE DE 1913;
126251;POL RANCHITO;5;COLONIA;5323;JUAN LACAZE;;DON BOSCO;;;;DR. H VACHELLI;;;;;;;;DON BOSCO esquina H VACHELLI;;14-03-2026;45864702;;;;;;;460030.147904412;6190533.65456414;-57.435;-34.4259;POLICLINICA RANCHITO;
126252;POL VILLA PANCHA;5;COLONIA;5323;JUAN LACAZE;;;;;;;;;;;;;;CALLE 2 esquina CALLE 9;;14-03-2026;45863806;;;;;;;458737.366942597;6191969.57325234;-57.449;-34.4129;POLICLINICA VILLA PANCHA;
126255;POL EL PASTOREO;5;COLONIA;5422;ROSARIO;;;;;;BALTASAR BRUM;;;;;;;;CONT ITUZAINGO esquina BALTASAR BRUM;;14-03-2026;45522001;;;;;;;467431.886483411;6202305.40505591;-57.354;-34.32;POLICLINICA EL PASTOREO;
126257;POL BARRIO ASENCIO;5;COLONIA;5423;NUEVA PALMIRA;;;;;;SARANDI;;;;;;;;MONTEVIDEO esquina SARANDI;;14-03-2026;45447497;;;;;;;370346.013809815;6249943.25873083;-58.402;-33.8829;POLICLINICA BARRIO ASENCIO;
126258;POL GOLONDRINA;5;COLONIA;5423;NUEVA PALMIRA;;ESTADOS UNIDOS;;;;IBICUY;;;;;;;;ESTADOS UNIDOS esquina IBICUY;;14-03-2026;;;;;;;;369671.255150893;6251930.39710694;-58.409;-33.8649;POLICLINICA GOLONDRINA;
126259;POL OMBUES DE LAVALLE;5;COLONIA;5521;OMBUES DE LAVALLE;;SARANDI;;;;25 DE MAYO;;;;;;;;SARANDI esquina 25 DE MAYO;;14-03-2026;45762132;;;;;;;425426.801883508;6244768.98877139;-57.8069;-33.9349;POLICLINICA OMBUES DE LAVALLE;
126260;POL TARARIRAS;5;COLONIA;5522;TARARIRAS;;J IPHARRAGUERRE IRIBARREN;;;;ROSARIO;;;;;;;;LAS FLORES esquina ROSARIO;;14-03-2026;45742801;;;;;;;443199.132927044;6208188.7189011;-57.617;-34.2659;POLICLINICA TARARIRAS;
126261;POL COLONIA VALDENSE;5;COLONIA;5621;COLONIA VALDENSE;;11 DE JUNIO;;;;ALICE RIVOIR DE ARMAND UGON;;;;;;;;11 DE JUNIO esquina ALICE RIVOIR DE ARMAND UGON;;14-03-2026;45588721;;;;;;;475351.515110087;6199457.71087239;-57.268;-34.3459;POLICLINICA COLONIA VALDENSE;
126262;POL FATIMA;5;COLONIA;5622;FLORENCIO SANCHEZ;;18 DE JULIO;;;;VIERA Y BENAVIDEZ;;;;;;;;18 DE JULIO esquina VIERA Y BENAVIDEZ;;14-03-2026;;;;;;;;466345.746923948;6251544.27412336;-57.3639;-33.8759;POLICLINICA FATIMA;
126263;POL CONCHILLAS;5;COLONIA;5721;CONCHILLAS;;DAVID EVANS;;;;;;;;;;;;DAVID EVANS;;14-03-2026;45762132;;;;;;;404882.160671339;6219744.30845929;-58.0319;-34.1589;POLICLINICA CONCHILLAS;
126264;POL LA PAZCOLONIA PIAMONTESA;5;COLONIA;5724;LA PAZ;;JOSE PEDRO VARELA;;;;J D COSTABEL;;;;;;;;JOSE PEDRO VARELA esquina JUAN D COSTABEL;;14-03-2026;45588228;;;;;;;471591.198736375;6199003.48672482;-57.3089;-34.3499;POLICLINICA LA PAZ;
126265;POL RIACHUELO;5;COLONIA;5726;RIACHUELO;;;;;;;;;;;;;;URUGUAY;;14-03-2026;45202862;;;;;;;434396.267067586;6190055.660663;-57.714;-34.4289;POLICLINICA RIACHUELO;
126266;POL CUFRE;5;COLONIA;5824;CUFRE;;SARANDI;;;;;;;;;;;;SARANDI esquina JACARANDA;;14-03-2026;45502410;;;;;;;490151.083112903;6215784.86314512;-57.1069;-34.1989;POLICLINICA CUFRE;
126267;POL SEMILLEROS;5;COLONIA;5826;EL SEMILLERO;;;11;;;;;;;;;;;;;14-03-2026;45748000;;;;;;;436542.871082319;6200039.82249284;-57.6899;-34.339;POLICLINICA LA ESTANZUELA;
126268;POL COLONIA MIGUELETE;5;COLONIA;5831;MIGUELETE;;JOSE PEDRO VARELA;;;;DR. ALBERTO BOERGER;;;;;;;;JOSE PEDRO VARELA esquina ALBERTO BOERGER;;14-03-2026;45752072;;;;;;;440071.392178774;6236767.15716596;-57.649;-34.008;POLICLINICA COLONIA MIGUELETE;
126269;POL CERRO MEVIR;5;COLONIA;5900;;;;;;;;;;;;;;;RAMAL RUTA 97 esquina LAS TUNAS;;14-03-2026;99055020;;;;;;;386200.027769356;6239167.00221058;-58.232;-33.9819;POLICLINICA CERRO MEVIR;
126270;POL JUAN GONZALEZ;5;COLONIA;5900;;;;;246;;;;;;;;;;RUTA 21 KM 246;;14-03-2026;45402060;;;;;;;385536.205244947;6232948.36256509;-58.24;-34.0379;POLICLINICA JUAN GONZALEZ;
126271;POL SAN FRANCISCO;5;COLONIA;5900;;;;;;;;;;;;;;;CAMINO DE LOS PEREGRINOS esquina CONT PARAGUAY;;14-03-2026;99542042;;;;;;;379918.463384943;6239089.41171876;-58.3;-33.9819;POLICLINICA SAN FRANCISCO;
126272;POL CAMPANA;5;COLONIA;5923;CAMPANA;;;;13;;;;;;;;;;RUTA 55  KM 13;;14-03-2026;45706269;;;;;;;416824.427493138;6233940.98067717;-57.901;-34.0319;POLICLINICA CAMPANA;
126273;POL BARKER;5;COLONIA;5925;BARKER;;;;;;EMPALME A RUTA 54;;;;;;;;EST FERROCARRIL esquina RAMAL R 2;;14-03-2026;;;;;;;;457557.574238709;6208930.09336692;-57.461;-34.2599;POLICLINICA BARKER;
126274;POL BONJOUR  FOMENTO;5;COLONIA;5961;PLAYA PARANT;;;;;;;;;;;;;;LA CAPILLA esquina RINCON DEL REY;;14-03-2026;45872151;;;;;;;476580.898547648;6189691.80212283;-57.2549;-34.434;POLICLINICA FOMENTO;
126275;POL SANTA ANA;5;COLONIA;5979;SANTA ANA;;;;;;;;;;;;;;AVDA DE LOS CARDENALES esquina TIPAS;;14-03-2026;45882316;;;;;;;445518.857718371;6190892.53880009;-57.5929;-34.422;POLICLINICA SANTA ANA;
126276;POL JACKSON;5;COLONIA;5996;JUAN JACKSON;;;;124;;;;;;;;;;RUTA 12  KM 124;;14-03-2026;;;;;;;;478655.872788096;6247144.80230263;-57.2309;-33.9159;POLICLINICA JACKSON;
126277;POL EL RETIRO;5;COLONIA;5421;NUEVA HELVECIA;;CHILE;;;;;;;;;;;;CHILE esquina URUGUAY;;14-03-2026;;;;;;;;476911.91866162;6204451.52057378;-57.2509;-34.3009;POLICLINICA EL RETIRO;
126352;POL BERRONDO;8;FLORIDA;8923;BERRONDO;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;566560.798519201;6221320.43684302;-56.278;-34.1469;POLICLINICA BERRONDO;
126280;POL URBANA BARRIO DURAN;6;DURAZNO;6020;DURAZNO;;JOSE GOMEZ;;;;FELIPE SANCHEZ;;;;;;;;JOSE GOMEZ esquina FELIPE SANCHEZ;;14-03-2026;;;;;;;;543348.24507213;6305268.35838905;-56.5339;-33.391;POLICLINICA BARRIO DURAN;
126281;POL URBANA BUEM;6;DURAZNO;6020;DURAZNO;;DR. JULIO ECHECHURI;;;;ANTONIO ORLANDO GIORDANO;;;;;;;;JULIO ECHECHURI esquina ANTONIO ORLANDO GIORDANO;;14-03-2026;;;;;;;;545765.325042077;6305046.57970155;-56.5079;-33.3929;POLICLINICA BUEM;
126282;POL URBANA COBUSU;6;DURAZNO;6020;DURAZNO;;INSTRUCCIONES DEL A�O XIII;244;;;GRITO DE ASENCIO;;;;;;;;INSTRUCCIONES DEL ANO XIII 244 esquina GRITO DE ASENCIO;;14-03-2026;;;;;;;;543353.754060358;6306498.99796184;-56.5339;-33.3799;POLICLINICA COBUSU;
126283;POL URBANA LA AMARILLA Y LA GUAIRENA;6;DURAZNO;6020;DURAZNO;;18 DE MAYO;110;;;HISTORIADOR DR. HUASCAR PARALLADA;;;;;;;;18 DE MAYO 110 esquina H PARALLADA;;14-03-2026;;;;;;;;543908.06750617;6307716.07709816;-56.528;-33.3689;POLICLINICA LA AMARILLA Y LA GUAIRENA;
126284;RONDA RURAL LA CURVA;6;DURAZNO;6020;DURAZNO;;JOSE GOMEZ;;;;;;;;;;;;JOSE GOMEZ;;14-03-2026;;;;;;;;541481.109178036;6303624.5662945;-56.5539;-33.4059;POLICLINICA LA CURVA;
126285;POL URBANA LA LANERA;6;DURAZNO;6020;DURAZNO;;POETA CARLOS SCAFFO;;;;INSTRUCCIONES DEL A�O XIII;;;;;;;;POETA CARLOS SCAFFO esquina INSTRUCCIONES DEL ANO XIII;;14-03-2026;;;;;;;;541957.093855288;6306172.53749129;-56.5489;-33.3829;POLICLINICA LA LANERA;
126286;POL URBANA MAPEP;6;DURAZNO;6020;DURAZNO;;GEORGE WASHINGTON;;;;ARQ. JUAN JACINTO APOLO;;;;;;;;GEORGE WASHINGTON esquina GIUSSEPPE GARIBALDI;;14-03-2026;;;;;;;;544277.259682389;6305042.412592;-56.5239;-33.393;POLICLINICA MAPEP;
